Rectangle,long,lat,,
27E9,-0.5,49.25,,
28E9,-0.5,49.75,,
28F0,0.5,49.75,,
29E8,-1.5,50.25,,
29E9,-0.5,50.25,,
30E9,-0.5,50.75,,
29F0,0.5,50.25,,
29F1,1.5,50.25,,
30F0,0.5,50.75,,
30F1,1.5,50.75,,
31F1,1.5,51.25,,
31F2,2.5,51.25,,
31F3,3.5,51.25,,
32F1,1.5,51.75,,
32F2,2.5,51.75,,
32F3,3.5,51.75,,
33F1,1.5,52.25,,
33F2,2.5,52.25,,
33F3,3.5,52.25,,
33F4,4.5,52.25,,
34F1,1.5,52.75,,
34F2,2.5,52.75,,
34F3,3.5,52.75,,
34F4,4.5,52.75,,
35F0,0.5,53.25,,
35F1,1.5,53.25,,
35F2,2.5,53.25,,
35F3,3.5,53.25,,
35F4,4.5,53.25,,
36F0,0.5,53.75,,
36F1,1.5,53.75,,
36F2,2.5,53.75,,
36F3,3.5,53.75,,
36F4,4.5,53.75,,
36F5,5.5,53.75,,
36F6,6.5,53.75,,
36F7,7.5,53.75,,
37E9,-0.5,54.25,,
37F0,0.5,54.25,,
37F1,1.5,54.25,,
37F2,2.5,54.25,,
37F3,3.5,54.25,,
37F4,4.5,54.25,,
37F5,5.5,54.25,,
37F6,6.5,54.25,,
37F7,7.5,54.25,,
37F8,8.5,54.25,,
38E8,-1.5,54.75,,
38E9,-0.5,54.75,,
38F0,0.5,54.75,,
38F1,1.5,54.75,,
38F2,2.5,54.75,,
38F3,3.5,54.75,,
38F4,4.5,54.75,,
38F5,5.5,54.75,,
38F6,6.5,54.75,,
38F7,7.5,54.75,,
38F8,8.5,54.75,,
39E8,-1.5,55.25,,
39E9,-0.5,55.25,,
39F0,0.5,55.25,,
39F1,1.5,55.25,,
39F2,2.5,55.25,,
39F3,3.5,55.25,,
39F4,4.5,55.25,,
39F5,5.5,55.25,,
39F6,6.5,55.25,,
39F7,7.5,55.25,,
39F8,8.5,55.25,,
40E8,-1.5,55.75,,
40E9,-0.5,55.75,,
40F0,0.5,55.75,,
40F1,1.5,55.75,,
40F2,2.5,55.75,,
40F3,3.5,55.75,,
40F4,4.5,55.75,,
40F5,5.5,55.75,,
40F6,6.5,55.75,,
40F7,7.5,55.75,,
41E7,-2.5,56.25,,
41E8,-1.5,56.25,,
41E9,-0.5,56.25,,
41F0,0.5,56.25,,
41F1,1.5,56.25,,
41F2,2.5,56.25,,
41F3,3.5,56.25,,
41F4,4.5,56.25,,
41F5,5.5,56.25,,
41F6,6.5,56.25,,
41F7,7.5,56.25,,
41G0,10.5,56.25,,
41G1,11.5,56.25,,
41G2,12.5,56.25,,
42E7,-2.5,56.75,,
42E8,-1.5,56.75,,
42E9,-0.5,56.75,,
42F0,0.5,56.75,,
42F1,1.5,56.75,,
42F2,2.5,56.75,,
