HaulID,length,number,SubSamplingFactor
1992DK_001,22,1,1
1992DK_001,23,1,1
1992DK_001,24,1,1
1992DK_001,25,5,1
1992DK_001,26,3,1
1992DK_001,27,2,1
1992DK_001,28,2,1
1992DK_001,29,1,1
1992DK_001,30,1,1
1992DK_001,31,1,1
1992DK_002,22,1,1
1992DK_002,23,1,1
1992DK_002,24,2,1
1992DK_002,25,1,1
1992DK_002,27,1,1
1992DK_002,28,2,1
1992DK_002,32,1,1
1992DK_002,33,1,1
1992DK_002,34,1,1
1992DK_003,20,1,1
1992DK_003,21,1,1
1992DK_003,22,1,1
1992DK_003,23,2,1
1992DK_003,24,5,1
1992DK_003,25,5,1
1992DK_003,26,4,1
1992DK_003,27,2,1
1992DK_003,28,2,1
1992DK_003,29,1,1
1992DK_003,30,1,1
1992DK_003,31,1,1
1992DK_003,32,3,1
1992DK_003,33,1,1
1992DK_004,23,1,1
1992DK_004,25,1,1
1992DK_004,26,1,1
1992DK_004,28,1,1
1992DK_004,30,3,1
1992DK_004,31,2,1
1992DK_004,32,2,1
1992DK_005,29,1,1
1992DK_005,30,1,1
1992DK_005,33,2,1
1992DK_006,19,1,1
1992DK_006,25,1,1
1992DK_006,26,3,1
1992DK_006,27,2,1
1992DK_006,28,1,1
1992DK_006,30,2,1
1992DK_006,31,1,1
1992DK_007,22,2,1
1992DK_007,23,1,1
1992DK_007,24,2,1
1992DK_007,25,4,1
1992DK_007,26,4,1
1992DK_007,27,8,1
1992DK_007,28,8,1
1992DK_007,29,2,1
1992DK_007,30,1,1
1992DK_007,31,1,1
1992DK_008,23,2,1
1992DK_008,24,1,1
1992DK_008,25,1,1
1992DK_008,26,2,1
1992DK_008,27,3,1
1992DK_008,28,4,1
1992DK_008,29,2,1
1992DK_008,30,4,1
1992DK_008,31,5,1
1992DK_009,25,3,1
1992DK_009,26,3,1
1992DK_009,27,1,1
1992DK_009,28,3,1
1992DK_009,29,2,1
1992DK_009,30,2,1
1992DK_010,22,1,1
1992DK_010,23,1,1
1992DK_010,24,1,1
1992DK_010,25,2,1
1992DK_010,27,1,1
1992DK_010,28,1,1
1992DK_010,29,2,1
1992DK_010,30,1,1
1992DK_011,26,2,1
1992DK_011,27,2,1
1992DK_011,28,2,1
1992DK_011,30,1,1
1992DK_012,24,2,1
1992DK_012,25,2,1
1992DK_012,26,4,1
1992DK_012,28,2,1
1992DK_012,29,2,1
1992DK_013,24,1,1
1992DK_013,25,1,1
1992DK_013,26,2,1
1992DK_013,27,4,1
1992DK_013,28,2,1
1992DK_013,29,2,1
1992DK_014,23,1,1
1992DK_014,24,1,1
1992DK_014,25,1,1
1992DK_014,26,2,1
1992DK_014,27,3,1
1992DK_014,28,6,1
1992DK_014,29,3,1
1992DK_014,31,1,1
1992DK_015,22,2,1
1992DK_016,22,1,1
1992DK_016,23,1,1
1992DK_016,25,1,1
1992DK_016,26,1,1
1992DK_016,27,1,1
1992DK_016,28,1,1
1992DK_017,20,1,1
1992DK_017,23,2,1
1992DK_017,24,1,1
1992DK_017,26,1,1
1992DK_018,20,1,1
1992DK_018,23,1,1
1992DK_018,24,2,1
1992DK_018,25,4,1
1992DK_018,26,5,1
1992DK_018,27,6,1
1992DK_018,28,8,1
1992DK_018,29,5,1
1992DK_018,30,5,1
1992DK_018,32,1,1
1992DK_018,33,1,1
1992DK_019,22,1,1
1992DK_019,24,4,1
1992DK_019,25,2,1
1992DK_019,26,1,1
1992DK_019,27,3,1
1992DK_019,28,7,1
1992DK_019,29,14,1
1992DK_019,30,18,1
1992DK_019,31,9,1
1992DK_019,32,5,1
1992DK_019,33,4,1
1992DK_019,34,1,1
1992DK_020,32,2,1
1992DK_021,20,1,1
1992DK_021,23,2,1
1992DK_021,24,2,1
1992DK_021,25,5,1
1992DK_021,26,6,1
1992DK_021,27,3,1
1992DK_021,28,2,1
1992DK_021,32,1,1
1992DK_022,25,1,1
1992DK_022,26,1,1
1992DK_022,28,1,1
1992DK_023,23,1,1
1992DK_023,24,1,1
1992DK_023,27,1,1
1992DK_023,30,1,1
1992DK_023,32,1,1
1992DK_024,25,1,1
1992DK_024,26,4,1
1992DK_024,27,2,1
1992DK_024,29,2,1
1992DK_025,24,2,1
1992DK_025,25,1,1
1992DK_025,26,8,1
1992DK_025,28,2,1
1992DK_025,29,2,1
1992DK_025,30,5,1
1992DK_025,31,1,1
1992DK_025,32,1,1
1992DK_025,33,2,1
1992DK_026,23,1,1
1992DK_026,24,3,1
1992DK_026,25,2,1
1992DK_026,26,2,1
1992DK_026,27,2,1
1992DK_026,28,2,1
1992DK_026,29,1,1
1992DK_026,30,3,1
1992DK_026,31,1,1
1992DK_027,21,1,1
1992DK_027,22,1,1
1992DK_027,23,3,1
1992DK_027,24,3,1
1992DK_027,25,1,1
1992DK_027,26,1,1
1992DK_027,27,1,1
1992DK_028,23,2,1
1992DK_028,24,1,1
1992DK_028,25,4,1
1992DK_028,26,4,1
1992DK_028,27,1,1
1992DK_028,28,1,1
1992DK_028,29,1,1
1992DK_028,30,1,1
1992DK_029,25,2,1
1992DK_029,26,6,1
1992DK_029,27,8,1
1992DK_029,28,4,1
1992DK_029,29,3,1
1992DK_029,31,1,1
1992DK_030,25,1,1
1992DK_030,27,2,1
1992DK_030,28,2,1
1992DK_030,31,1,1
1992DK_031,21,2,1
1992DK_031,22,2,1
1992DK_031,24,2,1
1992DK_031,25,1,1
1992DK_031,26,5,1
1992DK_031,27,4,1
1992DK_031,28,8,1
1992DK_031,29,6,1
1992DK_031,30,11,1
1992DK_031,31,6,1
1992DK_031,32,4,1
1992DK_031,33,2,1
1992DK_032,24,1,1
1992DK_032,25,1,1
1992DK_032,26,5,1
1992DK_032,27,11,1
1992DK_032,28,11,1
1992DK_032,29,11,1
1992DK_032,30,8,1
1992DK_032,31,16,1
1992DK_032,32,1,1
1992DK_032,33,1,1
1992DK_033,21,1,1
1992DK_033,24,1,1
1992DK_033,27,1,1
1992DK_033,28,3,1
1992DK_033,29,1,1
1992DK_033,30,5,1
1992DK_033,31,4,1
1992DK_033,32,4,1
1992DK_033,33,2,1
1992DK_034,21,1,1
1992DK_034,24,2,1
1992DK_034,25,3,1
1992DK_034,26,2,1
1992DK_034,28,1,1
1992DK_034,29,1,1
1992DK_034,30,2,1
1992DK_034,31,2,1
1992DK_034,32,3,1
1992DK_034,33,5,1
1992DK_034,34,1,1
1992DK_034,35,4,1
1992DK_034,36,3,1
1992DK_034,37,2,1
1992DK_035,24,1,1
1992DK_035,25,1,1
1992DK_035,26,4,1
1992DK_035,27,3,1
1992DK_035,28,3,1
1992DK_035,29,5,1
1992DK_035,30,3,1
1992DK_035,31,10,1
1992DK_035,32,8,1
1992DK_035,33,6,1
1992DK_035,34,4,1
1992DK_035,35,2,1
1992DK_035,36,1,1
1992DK_035,37,1,1
1992DK_036,22,1,1
1992DK_036,23,1,1
1992DK_036,24,2,1
1992DK_036,27,1,1
1992DK_036,29,3,1
1992DK_036,30,2,1
1992DK_036,33,2,1
1992DK_036,34,1,1
1992DK_036,35,3,1
1992DK_036,36,2,1
1992DK_036,37,4,1
1992DK_037,35,1,1
1992DK_037,36,1,1
1992DK_037,37,2,1
1992DK_037,38,1,1
1992DK_038,36,1,1
1992DK_038,37,7,1
1992DK_038,38,11,1
1992DK_038,39,6,1
1992DK_038,40,1,1
1992DK_039,39,1,1
1992DK_040,37,1,1
1992DK_040,38,3,1
1992DK_040,39,5,1
1992DK_040,40,2,1
1992DK_041,35,1,1
1992DK_041,38,4,1
1992DK_041,39,2,1
1992DK_041,40,1,1
1992DK_042,38,1,1
1992DK_042,39,1,1
1992DK_042,41,2,1
1992DK_042,42,1,1
1992DK_042,46,1,1
1992DK_042,47,1,1
1992DK_043,30,1,1
1992DK_043,37,4,1
1992DK_043,38,3,1
1992DK_044,30,1,1
1992DK_044,31,1,1
1992DK_044,33,2,1
1992DK_044,34,1,1
1992DK_044,35,4,1
1992DK_044,36,8,1
1992DK_044,37,1,1
1992DK_045,22,2,1
1992DK_045,24,1,1
1992DK_045,25,1,1
1992DK_045,27,2,1
1992DK_045,29,1,1
1992DK_045,33,3,1
1992DK_045,34,7,1
1992DK_045,35,9,1
1992DK_045,36,6,1
1992DK_045,37,1,1
1992DK_046,28,2,1
1992DK_046,29,3,1
1992DK_046,30,8,1
1992DK_046,31,7,1
1992DK_046,32,5,1
1992DK_046,33,3,1
1992DK_046,34,3,1
1992DK_047,21,3,1
1992DK_047,22,3,1
1992DK_047,23,2,1
1992DK_047,24,3,1
1992DK_047,25,7,1
1992DK_047,26,3,1
1992DK_047,27,6,1
1992DK_047,28,5,1
1992DK_047,29,2,1
1992DK_047,30,1,1
1992DK_047,31,2,1
1992DK_047,32,3,1
1992DK_047,33,1,1
1992DK_047,35,2,1
1992DK_047,36,1,1
1992DK_048,23,2,1
1992DK_048,25,4,1
1992DK_048,26,2,1
1992DK_048,27,5,1
1992DK_048,28,6,1
1992DK_048,29,6,1
1992DK_048,30,10,1
1992DK_048,31,7,1
1992DK_048,32,12,1
1992DK_048,33,13,1
1992DK_048,34,12,1
1992DK_048,35,7,1
1992DK_048,36,1,1
1992DK_048,37,1,1
1992DK_048,39,1,1
1992DK_049,23,1,1
1992DK_049,24,3,1
1992DK_049,25,2,1
1992DK_049,26,3,1
1992DK_049,27,4,1
1992DK_049,28,7,1
1992DK_049,29,5,1
1992DK_049,30,7,1
1992DK_049,31,5,1
1992DK_049,32,6,1
1992DK_049,33,5,1
1992DK_049,34,4,1
1992DK_049,36,3,1
1992DK_049,37,3,1
1992DK_050,20,1,1
1992DK_050,24,1,1
1992DK_050,28,1,1
1992DK_050,29,3,1
1992DK_050,30,1,1
1992DK_050,31,1,1
1992DK_050,32,2,1
1992DK_050,33,1,1
1992DK_050,34,1,1
1992DK_050,35,3,1
1992DK_050,36,3,1
1992DK_050,37,2,1
1992DK_050,39,1,1
1992DK_051,21,1,1
1992DK_051,23,1,1
1992DK_051,24,1,1
1992DK_051,25,1,1
1992DK_051,26,2,1
1992DK_051,27,1,1
1992DK_051,29,4,1
1992DK_051,30,5,1
1992DK_051,31,1,1
1992DK_051,33,3,1
1992DK_051,34,3,1
1992DK_051,35,8,1
1992DK_051,36,8,1
1992DK_051,37,3,1
1992DK_051,38,1,1
1992DK_052,20,1,1
1992DK_052,23,1,1
1992DK_052,24,1,1
