"Rectangle" "long" "lat" "X" "X.1" "Freq" "year"
"1" "27E9" -0.5 49.25 NA NA 0 2024
"2" "28E8" NA NA NA NA 2 2024
"3" "28E9" -0.5 49.75 NA NA 9 2024
"4" "28F0" 0.5 49.75 NA NA 7 2024
"5" "29E8" -1.5 50.25 NA NA 3 2024
"6" "29E9" -0.5 50.25 NA NA 9 2024
"7" "29F0" 0.5 50.25 NA NA 14 2024
"8" "29F1" 1.5 50.25 NA NA 7 2024
"9" "30E9" -0.5 50.75 NA NA 1 2024
"10" "30F0" 0.5 50.75 NA NA 6 2024
"11" "30F1" 1.5 50.75 NA NA 11 2024
"12" "31F1" 1.5 51.25 NA NA 10 2024
"13" "31F2" 2.5 51.25 NA NA 8 2024
"14" "31F3" 3.5 51.25 NA NA 1 2024
"15" "32F1" 1.5 51.75 NA NA 5 2024
"16" "32F2" 2.5 51.75 NA NA 9 2024
"17" "32F3" 3.5 51.75 NA NA 8 2024
"18" "33F1" 1.5 52.25 NA NA 2 2024
"19" "33F2" 2.5 52.25 NA NA 8 2024
"20" "33F3" 3.5 52.25 NA NA 10 2024
"21" "33F4" 4.5 52.25 NA NA 5 2024
"22" "34F1" 1.5 52.75 NA NA 2 2024
"23" "34F2" 2.5 52.75 NA NA 4 2024
"24" "34F3" 3.5 52.75 NA NA 4 2024
"25" "34F4" 4.5 52.75 NA NA 4 2024
"26" "35F0" 0.5 53.25 NA NA 3 2024
"27" "35F1" 1.5 53.25 NA NA 4 2024
"28" "35F2" 2.5 53.25 NA NA 6 2024
"29" "35F3" 3.5 53.25 NA NA 4 2024
"30" "35F4" 4.5 53.25 NA NA 4 2024
"31" "36F0" 0.5 53.75 NA NA 11 2024
"32" "36F1" 1.5 53.75 NA NA 4 2024
"33" "36F2" 2.5 53.75 NA NA 4 2024
"34" "36F3" 3.5 53.75 NA NA 2 2024
"35" "36F4" 4.5 53.75 NA NA 2 2024
"36" "36F5" 5.5 53.75 NA NA 0 2024
"37" "36F6" 6.5 53.75 NA NA 4 2024
"38" "36F7" 7.5 53.75 NA NA 4 2024
"39" "37E9" -0.5 54.25 NA NA 4 2024
"40" "37F0" 0.5 54.25 NA NA 13 2024
"41" "37F1" 1.5 54.25 NA NA 2 2024
"42" "37F2" 2.5 54.25 NA NA 4 2024
"43" "37F3" 3.5 54.25 NA NA 2 2024
"44" "37F4" 4.5 54.25 NA NA 2 2024
"45" "37F5" 5.5 54.25 NA NA 3 2024
"46" "37F6" 6.5 54.25 NA NA 4 2024
"47" "37F7" 7.5 54.25 NA NA 4 2024
"48" "37F8" 8.5 54.25 NA NA 2 2024
"49" "37G3" NA NA NA NA 618 2024
"50" "38E8" -1.5 54.75 NA NA 2 2024
"51" "38E9" -0.5 54.75 NA NA 13 2024
"52" "38F0" 0.5 54.75 NA NA 13 2024
"53" "38F1" 1.5 54.75 NA NA 3 2024
"54" "38F2" 2.5 54.75 NA NA 4 2024
"55" "38F3" 3.5 54.75 NA NA 4 2024
"56" "38F4" 4.5 54.75 NA NA 1 2024
"57" "38F5" 5.5 54.75 NA NA 1 2024
"58" "38F6" 6.5 54.75 NA NA 4 2024
"59" "38F7" 7.5 54.75 NA NA 4 2024
"60" "38F8" 8.5 54.75 NA NA 2 2024
"61" "39E8" -1.5 55.25 NA NA 10 2024
"62" "39E9" -0.5 55.25 NA NA 13 2024
"63" "39F0" 0.5 55.25 NA NA 10 2024
"64" "39F1" 1.5 55.25 NA NA 10 2024
"65" "39F2" 2.5 55.25 NA NA 10 2024
"66" "39F3" 3.5 55.25 NA NA 4 2024
"67" "39F4" 4.5 55.25 NA NA 2 2024
"68" "39F5" 5.5 55.25 NA NA 4 2024
"69" "39F6" 6.5 55.25 NA NA 4 2024
"70" "39F7" 7.5 55.25 NA NA 4 2024
"71" "39F8" 8.5 55.25 NA NA 2 2024
"72" "40E8" -1.5 55.75 NA NA 11 2024
"73" "40E9" -0.5 55.75 NA NA 13 2024
"74" "40F0" 0.5 55.75 NA NA 4 2024
"75" "40F1" 1.5 55.75 NA NA 5 2024
"76" "40F2" 2.5 55.75 NA NA 4 2024
"77" "40F3" 3.5 55.75 NA NA 2 2024
"78" "40F4" 4.5 55.75 NA NA 6 2024
"79" "40F5" 5.5 55.75 NA NA 6 2024
"80" "40F6" 6.5 55.75 NA NA 5 2024
"81" "40F7" 7.5 55.75 NA NA 4 2024
"82" "41E7" -2.5 56.25 NA NA 10 2024
"83" "41E8" -1.5 56.25 NA NA 15 2024
"84" "41E9" -0.5 56.25 NA NA 13 2024
"85" "41F0" 0.5 56.25 NA NA 4 2024
"86" "41F1" 1.5 56.25 NA NA 4 2024
"87" "41F2" 2.5 56.25 NA NA 5 2024
"88" "41F3" 3.5 56.25 NA NA 2 2024
"89" "41F4" 4.5 56.25 NA NA 4 2024
"90" "41F5" 5.5 56.25 NA NA 6 2024
"91" "41F6" 6.5 56.25 NA NA 4 2024
"92" "41F7" 7.5 56.25 NA NA 4 2024
"93" "41G0" 10.5 56.25 NA NA 1 2024
"94" "41G1" 11.5 56.25 NA NA 3 2024
"95" "41G2" 12.5 56.25 NA NA 2 2024
"96" "42E7" -2.5 56.75 NA NA 4 2024
"97" "42E8" -1.5 56.75 NA NA 11 2024
"98" "42E9" -0.5 56.75 NA NA 13 2024
"99" "42F0" 0.5 56.75 NA NA 4 2024
"100" "42F1" 1.5 56.75 NA NA 2 2024
"101" "42F2" 2.5 56.75 NA NA 3 2024
"102" "42F3" 3.5 56.75 NA NA 2 2024
"103" "42F4" 4.5 56.75 NA NA 2 2024
"104" "42F5" 5.5 56.75 NA NA 2 2024
"105" "42F6" 6.5 56.75 NA NA 3 2024
"106" "42F7" 7.5 56.75 NA NA 3 2024
"107" "42F8" 8.5 56.75 NA NA 0 2024
"108" "42G0" 10.5 56.75 NA NA 0 2024
"109" "42G1" 11.5 56.75 NA NA 4 2024
"110" "42G2" 12.5 56.75 NA NA 3 2024
"111" "43E8" -1.5 57.25 NA NA 10 2024
"112" "43E9" -0.5 57.25 NA NA 13 2024
"113" "43F0" 0.5 57.25 NA NA 2 2024
"114" "43F1" 1.5 57.25 NA NA 4 2024
"115" "43F2" 2.5 57.25 NA NA 4 2024
"116" "43F3" 3.5 57.25 NA NA 2 2024
"117" "43F4" 4.5 57.25 NA NA 3 2024
"118" "43F5" 5.5 57.25 NA NA 4 2024
"119" "43F6" 6.5 57.25 NA NA 5 2024
"120" "43F7" 7.5 57.25 NA NA 3 2024
"121" "43F8" 8.5 57.25 NA NA 3 2024
"122" "43F9" 9.5 57.25 NA NA 1 2024
"123" "43G0" 10.5 57.25 NA NA 0 2024
"124" "43G1" 11.5 57.25 NA NA 3 2024
"125" "43G2" 12.5 57.25 NA NA 1 2024
"126" "44E6" -3.5 57.75 NA NA 4 2024
"127" "44E7" -2.5 57.75 NA NA 4 2024
"128" "44E8" -1.5 57.75 NA NA 13 2024
"129" "44E9" -0.5 57.75 NA NA 11 2024
"130" "44F0" 0.5 57.75 NA NA 2 2024
"131" "44F1" 1.5 57.75 NA NA 4 2024
"132" "44F2" 2.5 57.75 NA NA 4 2024
"133" "44F3" 3.5 57.75 NA NA 4 2024
"134" "44F4" 4.5 57.75 NA NA 4 2024
"135" "44F5" 5.5 57.75 NA NA 4 2024
"136" "44F6" NA NA NA NA 2 2024
"137" "44F8" 8.5 57.75 NA NA 0 2024
"138" "44F9" 9.5 57.75 NA NA 4 2024
"139" "44G0" 10.5 57.75 NA NA 2 2024
"140" "44G1" 11.5 57.75 NA NA 2 2024
"141" "45E6" -3.5 58.25 NA NA 2 2024
"142" "45E7" -2.5 58.25 NA NA 3 2024
"143" "45E8" -1.5 58.25 NA NA 4 2024
"144" "45E9" -0.5 58.25 NA NA 4 2024
"145" "45F0" 0.5 58.25 NA NA 2 2024
"146" "45F1" 1.5 58.25 NA NA 2 2024
"147" "45F2" 2.5 58.25 NA NA 4 2024
"148" "45F3" 3.5 58.25 NA NA 4 2024
"149" "45F4" 4.5 58.25 NA NA 4 2024
"150" "45F8" 8.5 58.25 NA NA 0 2024
"151" "45F9" 9.5 58.25 NA NA 1 2024
"152" "45G0" 10.5 58.25 NA NA 2 2024
"153" "45G1" 11.5 58.25 NA NA 1 2024
"154" "46E6" -3.5 58.75 NA NA 2 2024
"155" "46E7" -2.5 58.75 NA NA 3 2024
"156" "46E8" -1.5 58.75 NA NA 3 2024
"157" "46E9" -0.5 58.75 NA NA 4 2024
"158" "46F0" 0.5 58.75 NA NA 4 2024
"159" "46F1" 1.5 58.75 NA NA 2 2024
"160" "46F2" 2.5 58.75 NA NA 4 2024
"161" "46F3" 3.5 58.75 NA NA 4 2024
"162" "46F9" 9.5 58.75 NA NA 0 2024
"163" "46G0" 10.5 58.75 NA NA 2 2024
"164" "46G1" 11.5 58.75 NA NA 0 2024
"165" "47E6" -3.5 59.25 NA NA 2 2024
"166" "47E7" -2.5 59.25 NA NA 2 2024
"167" "47E8" -1.5 59.25 NA NA 2 2024
"168" "47E9" -0.5 59.25 NA NA 2 2024
"169" "47F0" 0.5 59.25 NA NA 3 2024
"170" "47F1" 1.5 59.25 NA NA 3 2024
"171" "47F2" 2.5 59.25 NA NA 4 2024
"172" "47F3" 3.5 59.25 NA NA 2 2024
"173" "47G0" 10.5 59.25 NA NA 0 2024
"174" "48E6" -3.5 59.75 NA NA 1 2024
"175" "48E7" -2.5 59.75 NA NA 3 2024
"176" "48E8" -1.5 59.75 NA NA 3 2024
"177" "48E9" -0.5 59.75 NA NA 2 2024
"178" "48F0" 0.5 59.75 NA NA 4 2024
"179" "48F1" 1.5 59.75 NA NA 3 2024
"180" "48F2" 2.5 59.75 NA NA 2 2024
"181" "48F3" 3.5 59.75 NA NA 4 2024
"182" "48F4" 4.5 59.75 NA NA 0 2024
"183" "49E6" -3.5 60.25 NA NA 1 2024
"184" "49E7" -2.5 60.25 NA NA 2 2024
"185" "49E8" -1.5 60.25 NA NA 2 2024
"186" "49E9" -0.5 60.25 NA NA 4 2024
"187" "49F0" 0.5 60.25 NA NA 3 2024
"188" "49F1" 1.5 60.25 NA NA 4 2024
"189" "49F2" 2.5 60.25 NA NA 4 2024
"190" "49F3" 3.5 60.25 NA NA 2 2024
"191" "50E7" -2.5 60.75 NA NA 1 2024
"192" "50E8" -1.5 60.75 NA NA 2 2024
"193" "50E9" -0.5 60.75 NA NA 2 2024
"194" "50F0" 0.5 60.75 NA NA 4 2024
"195" "50F1" 1.5 60.75 NA NA 4 2024
"196" "50F2" 2.5 60.75 NA NA 4 2024
"197" "50F3" 3.5 60.75 NA NA 1 2024
"198" "51E8" -1.5 61.25 NA NA 1 2024
"199" "51E9" -0.5 61.25 NA NA 2 2024
"200" "51F0" 0.5 61.25 NA NA 4 2024
"201" "51F1" 1.5 61.25 NA NA 4 2024
"202" "51F2" 2.5 61.25 NA NA 1 2024
"203" "52E9" -0.5 61.75 NA NA 2 2024
"204" "52F0" 0.5 61.75 NA NA 2 2024
"205" "52F1" 1.5 61.75 NA NA 2 2024
