RecordType,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,HaulID,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,statrec,Notes
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_001,,,10,1,2020,7,33,55.315,8.063,10,0,578,,,,3.1416,,,,HydroBios,2955,3,,,,,,11,17,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_002,,,10,1,2020,17,20,55.627,7.195,15,10,1168,,,,3.1416,,,,HydroBios,6657,3,,,,,,28,30,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_003,,,10,1,2020,18,36,55.777,7.167,14,30,931,,,,3.1416,,,,HydroBios,3984,3,,,,,,28,30,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_004,,,10,1,2020,20,12,55.767,6.836,15,0,1176,,,,3.1416,,,,HydroBios,4562,3,,,,,,28,35,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_005,,,10,1,2020,21,36,55.592,6.835,14,2,980,,,,3.1416,,,,HydroBios,4394,3,,,,,,28,34,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_006,,,10,1,2020,23,14,55.416,6.533,16,0,1328,,,,3.1416,,,,HydroBios,5323,3,,,,,,33,39,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_007,,,11,1,2020,0,34,55.38,6.83,11,0,947,,,,3.1416,,,,HydroBios,4107,3,,,,,,21,26,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_008,,,11,1,2020,1,52,55.379,7.182,11,0,1016,,,,3.1416,,,,HydroBios,4060,3,,,,,,22,29,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_009,,,11,1,2020,3,22,55.324,7.501,10,0,1018,,,,3.1416,,,,HydroBios,4158,3,,,,,,19,25,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_010,,,12,1,2020,17,43,54.784,7.261,10,0,748,,,,3.1416,,,,HydroBios,3296,3,,,,,,21,26,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_011,,,12,1,2020,21,12,54.588,8.148,9,0,544,,,,3.1416,,,,HydroBios,2584,3,,,,,,10,14,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_012,,,13,1,2020,0,33,54.86,8.152,20,0,956,,,,3.1416,,,,HydroBios,2993,3,,,,,,10,15,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_013,,,13,1,2020,2,0,54.884,7.824,8,0,652,,,,3.1416,,,,HydroBios,2789,3,,,,,,16,20,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_014,,,13,1,2020,5,13,54.876,6.854,10,0,1055,,,,3.1416,,,,HydroBios,3358,3,,,,,,30,35,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_015,,,13,1,2020,6,23,54.908,6.554,17,0,1821,,,,3.1416,,,,HydroBios,6119,3,,,,,,37,42,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_061,,,15,1,2020,16,20,57.654,5.204,30,0,2709,,,,3.1416,,,,HydroBios,9807,3,,,,,,91,97,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_016,,,16,1,2020,17,22,55.89,4.448,17,9,1630,,,,3.1416,,,,HydroBios,6567,3,,,,,,38,43,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_017,,,16,1,2020,18,56,55.815,4.723,15,30,1298,,,,3.1416,,,,HydroBios,5333,3,,,,,,32,39,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_018,,,16,1,2020,23,9,55.415,5.379,14,10,980,,,,3.1416,,,,HydroBios,3879,3,,,,,,40,46,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_021,,,17,1,2020,0,0,55.818,5.744,18,0,1968,,,,3.1416,,,,HydroBios,4911,3,,,,,,42,50,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_019,,,17,1,2020,0,47,55.415,5.713,13,0,1296,,,,3.1416,,,,HydroBios,5030,3,,,,,,43,50,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_020,,,17,1,2020,2,20,55.605,5.721,18,0,1957,,,,3.1416,,,,HydroBios,6292,3,,,,,,44,52,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_022,,,17,1,2020,5,41,56.085,5.756,20,0,2352,,,,3.1416,,,,HydroBios,6951,3,,,,,,45,52,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_023,,,17,1,2020,16,1,56.082,7.208,10,20,864,,,,3.1416,,,,HydroBios,3343,3,,,,,,22,27,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_024,,,17,1,2020,17,15,56.244,7.203,14,0,1465,,,,3.1416,,,,HydroBios,5418,3,,,,,,27,32,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_025,,,17,1,2020,18,55,56.251,6.843,13,0,1781,,,,3.1416,,,,HydroBios,5577,3,,,,,,33,38,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_026,,,17,1,2020,21,3,56.255,6.241,13,30,1275,,,,3.1416,,,,HydroBios,4398,3,,,,,,38,43,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_027,,,17,1,2020,23,34,56.254,5.492,20,0,1982,,,,3.1416,,,,HydroBios,6710,3,,,,,,52,58,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_028,,,18,1,2020,2,18,56.254,4.746,18,0,1460,,,,3.1416,,,,HydroBios,5857,3,,,,,,52,62,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_029,,,18,1,2020,3,45,56.09,4.743,13,0,1200,,,,3.1416,,,,HydroBios,4487,3,,,,,,47,55,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_030,,,18,1,2020,16,13,54.408,6.193,16,20,1715,,,,3.1416,,,,HydroBios,5356,3,,,,,,36,41,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_031,,,18,1,2020,17,22,54.32,6.416,17,10,1718,,,,3.1416,,,,HydroBios,5838,3,,,,,,33,39,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_032,,,18,1,2020,21,25,54.331,7.147,15,0,1252,,,,3.1416,,,,HydroBios,5330,3,,,,,,35,41,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_033,,,19,1,2020,0,4,54.293,7.843,12,0,1143,,,,3.1416,,,,HydroBios,3870,3,,,,,,15,22,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_034,,,19,1,2020,1,28,54.233,8.189,10,0,1038,,,,3.1416,,,,HydroBios,3106,3,,,,,,8,15,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_035,,,19,1,2020,2,58,54.413,8.169,14,0,1814,,,,3.1416,,,,HydroBios,5582,3,,,,,,13,19,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_036,,,19,1,2020,17,0,53.944,7.896,11,20,1438,,,,3.1416,,,,HydroBios,3976,3,,,,,,21,27,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_037,,,19,1,2020,20,17,53.954,7.161,11,40,1328,,,,3.1416,,,,HydroBios,3742,3,,,,,,20,27,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_038,,,19,1,2020,23,2,53.899,6.775,10,0,1091,,,,3.1416,,,,HydroBios,2819,3,,,,,,18,23,,,,,,,,,,
